V0 (1) = 800.000
#  i    sp levels      j     sp levels     k     sp levels     l     sp levels    isospin   V_pair
   1    -26.623512     3    -11.317252     4    -11.317252     6    -11.302825     1     -0.000075
   1    -26.623512     3    -11.317252     4    -11.317252     7     -4.228309     1      0.000039
   1    -26.623512     3    -11.317252     4    -11.317252     8     -4.228309     1      0.000095
   1    -26.623512     3    -11.317252     5    -11.302825     1    -26.623512     1      0.000063
   1    -26.623512     3    -11.317252     5    -11.302825     2    -26.623512     1     -0.000051
   1    -26.623512     3    -11.317252     5    -11.302825     3    -11.317252     1     -0.000075
   1    -26.623512     3    -11.317252     5    -11.302825     4    -11.317252     1     -0.000060
   1    -26.623512     3    -11.317252     5    -11.302825     6    -11.302825     1     -0.000076
   1    -26.623512     3    -11.317252     5    -11.302825     7     -4.228309     1      0.000067
   1    -26.623512     3    -11.317252     5    -11.302825     8     -4.228309     1      0.000035
   1    -26.623512     3    -11.317252     6    -11.302825     1    -26.623512     1      0.000051
   1    -26.623512     3    -11.317252     6    -11.302825     2    -26.623512     1      0.000063
   1    -26.623512     3    -11.317252     6    -11.302825     3    -11.317252     1     -0.000060
   1    -26.623512     3    -11.317252     6    -11.302825     4    -11.317252     1      0.000075
   1    -26.623512     3    -11.317252     6    -11.302825     5    -11.302825     1      0.000076
   1    -26.623512     3    -11.317252     6    -11.302825     7     -4.228309     1     -0.000035
   1    -26.623512     3    -11.317252     6    -11.302825     8     -4.228309     1      0.000067
   1    -26.623512     3    -11.317252     7     -4.228309     1    -26.623512     1     -0.000079
   1    -26.623512     3    -11.317252     7     -4.228309     2    -26.623512     1     -0.000032
   1    -26.623512     3    -11.317252     7     -4.228309     3    -11.317252     1      0.000095
   1    -26.623512     3    -11.317252     7     -4.228309     4    -11.317252     1     -0.000039
   1    -26.623512     3    -11.317252     7     -4.228309     5    -11.302825     1     -0.000067
   1    -26.623512     3    -11.317252     7     -4.228309     6    -11.302825     1      0.000035
   1    -26.623512     3    -11.317252     7     -4.228309     8     -4.228309     1     -0.000084
   1    -26.623512     3    -11.317252     8     -4.228309     1    -26.623512     1      0.000032
   1    -26.623512     3    -11.317252     8     -4.228309     2    -26.623512     1     -0.000079
   1    -26.623512     3    -11.317252     8     -4.228309     3    -11.317252     1     -0.000039
   1    -26.623512     3    -11.317252     8     -4.228309     4    -11.317252     1     -0.000095
   1    -26.623512     3    -11.317252     8     -4.228309     5    -11.302825     1     -0.000035
   1    -26.623512     3    -11.317252     8     -4.228309     6    -11.302825     1     -0.000067
   1    -26.623512     3    -11.317252     8     -4.228309     7     -4.228309     1      0.000084
   1    -26.623512     4    -11.317252     1    -26.623512     2    -26.623512     1      8.256997
   1    -26.623512     4    -11.317252     1    -26.623512     3    -11.317252     1     -0.000110
   1    -26.623512     4    -11.317252     1    -26.623512     4    -11.317252     1      6.501468
   1    -26.623512     4    -11.317252     1    -26.623512     5    -11.302825     1      3.763102
   1    -26.623512     4    -11.317252     1    -26.623512     6    -11.302825     1      4.042452
   1    -26.623512     4    -11.317252     1    -26.623512     7     -4.228309     1     -4.391485
   1    -26.623512     4    -11.317252     1    -26.623512     8     -4.228309     1      2.369753
   1    -26.623512     4    -11.317252     2    -26.623512     1    -26.623512     1     -8.256997
   1    -26.623512     4    -11.317252     2    -26.623512     3    -11.317252     1      6.501468
   1    -26.623512     4    -11.317252     2    -26.623512     4    -11.317252     1      0.000110
   1    -26.623512     4    -11.317252     2    -26.623512     5    -11.302825     1     -4.042452
   1    -26.623512     4    -11.317252     2    -26.623512     6    -11.302825     1      3.763102
   1    -26.623512     4    -11.317252     2    -26.623512     7     -4.228309     1     -2.369753
   1    -26.623512     4    -11.317252     2    -26.623512     8     -4.228309     1     -4.391485
   1    -26.623512     4    -11.317252     3    -11.317252     1    -26.623512     1      0.000110
   1    -26.623512     4    -11.317252     3    -11.317252     2    -26.623512     1     -6.501468
   1    -26.623512     4    -11.317252     3    -11.317252     4    -11.317252     1     -6.038423
   1    -26.623512     4    -11.317252     3    -11.317252     5    -11.302825     1     -3.495243
   1    -26.623512     4    -11.317252     3    -11.317252     6    -11.302825     1     -3.153331
   1    -26.623512     4    -11.317252     3    -11.317252     7     -4.228309     1      4.192366
   1    -26.623512     4    -11.317252     3    -11.317252     8     -4.228309     1     -1.900753
   1    -26.623512     4    -11.317252     4    -11.317252     1    -26.623512     1     -6.501468
   1    -26.623512     4    -11.317252     4    -11.317252     2    -26.623512     1     -0.000110
   1    -26.623512     4    -11.317252     4    -11.317252     3    -11.317252     1      6.038423
   1    -26.623512     4    -11.317252     4    -11.317252     5    -11.302825     1     -3.153331
   1    -26.623512     4    -11.317252     4    -11.317252     6    -11.302825     1      3.495243
   1    -26.623512     4    -11.317252     4    -11.317252     7     -4.228309     1     -1.900753
   1    -26.623512     4    -11.317252     4    -11.317252     8     -4.228309     1     -4.192366
   1    -26.623512     4    -11.317252     5    -11.302825     1    -26.623512     1     -3.763102
   1    -26.623512     4    -11.317252     5    -11.302825     2    -26.623512     1      4.042452
   1    -26.623512     4    -11.317252     5    -11.302825     3    -11.317252     1      3.495243
   1    -26.623512     4    -11.317252     5    -11.302825     4    -11.317252     1      3.153331
   1    -26.623512     4    -11.317252     5    -11.302825     6    -11.302825     1      4.750395
   1    -26.623512     4    -11.317252     5    -11.302825     7     -4.228309     1     -3.279591
   1    -26.623512     4    -11.317252     5    -11.302825     8     -4.228309     1     -0.779626
   1    -26.623512     4    -11.317252     6    -11.302825     1    -26.623512     1     -4.042452
   1    -26.623512     4    -11.317252     6    -11.302825     2    -26.623512     1     -3.763102
   1    -26.623512     4    -11.317252     6    -11.302825     3    -11.317252     1      3.153331
   1    -26.623512     4    -11.317252     6    -11.302825     4    -11.317252     1     -3.495243
   1    -26.623512     4    -11.317252     6    -11.302825     5    -11.302825     1     -4.750395
   1    -26.623512     4    -11.317252     6    -11.302825     7     -4.228309     1      0.779626
   1    -26.623512     4    -11.317252     6    -11.302825     8     -4.228309     1     -3.279591
   1    -26.623512     4    -11.317252     7     -4.228309     1    -26.623512     1      4.391485
   1    -26.623512     4    -11.317252     7     -4.228309     2    -26.623512     1      2.369753
   1    -26.623512     4    -11.317252     7     -4.228309     3    -11.317252     1     -4.192366
   1    -26.623512     4    -11.317252     7     -4.228309     4    -11.317252     1      1.900753
   1    -26.623512     4    -11.317252     7     -4.228309     5    -11.302825     1      3.279591
   1    -26.623512     4    -11.317252     7     -4.228309     6    -11.302825     1     -0.779626
   1    -26.623512     4    -11.317252     7     -4.228309     8     -4.228309     1      3.942932
   1    -26.623512     4    -11.317252     8     -4.228309     1    -26.623512     1     -2.369753
   1    -26.623512     4    -11.317252     8     -4.228309     2    -26.623512     1      4.391485
   1    -26.623512     4    -11.317252     8     -4.228309     3    -11.317252     1      1.900753
   1    -26.623512     4    -11.317252     8     -4.228309     4    -11.317252     1      4.192366
   1    -26.623512     4    -11.317252     8     -4.228309     5    -11.302825     1      0.779626
   1    -26.623512     4    -11.317252     8     -4.228309     6    -11.302825     1      3.279591
   1    -26.623512     4    -11.317252     8     -4.228309     7     -4.228309     1     -3.942932
   1    -26.623512     5    -11.302825     1    -26.623512     2    -26.623512     1      4.778898
   1    -26.623512     5    -11.302825     1    -26.623512     3    -11.317252     1     -0.000063
   1    -26.623512     5    -11.302825     1    -26.623512     4    -11.317252     1      3.763102
